                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0133,                0.45871,                 0.9799,                0.99629,                0.28033,                0.48822,                 0.3984,                0.82823,                0.31159,                0.90132,              0.0033283,              0.0033283,              0.0033283
                      2,                0.99143,                0.44166,                0.97058,                0.99851,                0.75655,                0.82213,                0.67763,                 0.7795,                0.30597,                0.89119,              0.0065297,              0.0065297,              0.0065297
                      3,                0.98742,                0.45057,                0.97226,                0.99518,                0.42049,                0.53577,                0.41026,                0.98252,                0.35684,                0.93798,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0055,                0.47423,                0.97777,                0.99786,                0.68252,                0.74259,                0.58899,                0.86957,                0.34216,                0.92691,               0.009406,               0.009406,               0.009406
                      5,                 1.0038,                0.47907,                0.97782,                0.99699,                0.85126,                0.88504,                0.70659,                0.85527,                0.33524,                0.90737,               0.009406,               0.009406,               0.009406
