                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0219,                0.46875,                0.98324,                0.99771,                0.52235,                0.64999,                0.52853,                0.82327,                0.31293,                0.90102,              0.0033283,              0.0033283,              0.0033283
                      2,                0.99864,                0.44869,                0.97367,                0.99893,                0.80939,                0.86372,                0.71106,                0.78729,                0.30774,                0.89802,              0.0065297,              0.0065297,              0.0065297
                      3,                 1.0044,                0.46167,                0.97822,                0.99513,                0.59067,                0.66625,                0.51362,                0.96005,                0.35775,                0.93433,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0239,                0.48839,                0.98444,                0.99582,                0.67396,                0.73994,                0.58706,                0.86328,                0.34079,                0.92451,               0.009406,               0.009406,               0.009406
                      5,                 1.0225,                0.49389,                0.98471,                0.99695,                0.79727,                0.83373,                0.67205,                0.82561,                0.33346,                 0.8992,               0.009406,               0.009406,               0.009406
                      6,                 1.0378,                0.50128,                0.98874,                0.99828,                0.84302,                0.87194,                0.69534,                0.85586,                0.33082,                0.92006,               0.009208,               0.009208,               0.009208
                      7,                 1.0394,                0.50051,                0.98979,                0.99607,                0.95462,                0.96412,                0.77451,                0.82812,                 0.3357,                0.90913,                0.00901,                0.00901,                0.00901
                      8,                 1.0396,                0.50019,                0.99224,                0.99809,                0.94618,                0.95992,                0.77295,                0.84368,                0.33275,                0.90967,               0.008812,               0.008812,               0.008812
