                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99727,                0.44046,                0.97374,                0.99797,                0.51094,                0.67881,                0.55484,                0.82636,                0.30831,                0.90413,              0.0033283,              0.0033283,              0.0033283
                      2,                0.96353,                0.42449,                0.96404,                0.99833,                0.66356,                0.76305,                0.63001,                0.77261,                 0.3094,                0.89442,              0.0065297,              0.0065297,              0.0065297
                      3,                 1.0287,                0.47942,                0.98661,                 0.9835,                0.13714,                0.27551,                0.21497,                 0.9706,                0.36636,                0.94185,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0487,                0.51075,                0.99286,                 0.9971,                0.67019,                0.73479,                0.59353,                0.81494,                0.33948,                0.91149,               0.009406,               0.009406,               0.009406
                      5,                 1.0448,                0.51156,                0.99235,                0.99747,                0.81571,                0.85862,                0.67887,                 0.8798,                0.33632,                0.92292,               0.009406,               0.009406,               0.009406
                      6,                 1.0428,                 0.5073,                0.99066,                0.99787,                0.87285,                0.89734,                0.71915,                0.84757,                0.33716,                0.91783,               0.009208,               0.009208,               0.009208
                      7,                 1.0439,                0.50713,                0.99209,                0.99722,                0.79446,                0.83299,                0.67282,                0.80549,                0.33418,                0.90506,                0.00901,                0.00901,                0.00901
                      8,                 1.0505,                0.51051,                0.99646,                0.99825,                0.95712,                0.96769,                0.76942,                0.87913,                 0.3396,                 0.9256,               0.008812,               0.008812,               0.008812
