                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0131,                0.46031,                0.97944,                0.99625,                 0.3181,                0.51541,                0.42096,                0.83588,                0.30811,                0.90773,              0.0033283,              0.0033283,              0.0033283
                      2,                0.99524,                0.44433,                0.97167,                0.99858,                0.74576,                0.81731,                0.67313,                0.77558,                0.30901,                0.89329,              0.0065297,              0.0065297,              0.0065297
                      3,                0.99756,                0.45645,                0.97531,                0.99554,                0.56855,                0.65731,                0.50337,                0.97804,                0.35665,                0.93894,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0177,                0.48203,                 0.9818,                0.99576,                0.46786,                0.56125,                0.45168,                0.83511,                0.33996,                0.91633,               0.009406,               0.009406,               0.009406
                      5,                 1.0153,                0.48645,                 0.9813,                 0.9968,                0.83218,                0.86907,                0.69661,                0.85054,                0.33455,                0.90336,               0.009406,               0.009406,               0.009406
                      6,                 1.0197,                0.48593,                 0.9823,                0.99782,                0.97049,                0.97679,                0.77197,                0.88785,                 0.3391,                0.92728,               0.009208,               0.009208,               0.009208
