                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0163,                0.46259,                0.98028,                0.99697,                0.37114,                0.55357,                0.44978,                0.84179,                0.31126,                0.90746,              0.0033283,              0.0033283,              0.0033283
                      2,                0.99852,                0.44709,                0.97289,                 0.9983,                0.71811,                0.78871,                0.64933,                0.78084,                0.30776,                0.89236,              0.0065297,              0.0065297,              0.0065297
                      3,                 1.0026,                0.45931,                0.97718,                 0.9907,                0.24579,                  0.383,                0.29789,                0.96224,                0.36015,                 0.9365,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0222,                0.48613,                0.98345,                0.99799,                0.77671,                0.82158,                0.66304,                0.82112,                0.34099,                0.90542,               0.009406,               0.009406,               0.009406
                      5,                 1.0204,                0.49008,                 0.9835,                 0.9971,                0.80442,                0.85079,                0.67642,                0.87316,                0.33554,                0.91436,               0.009406,               0.009406,               0.009406
                      6,                 1.0274,                 0.4914,                0.98475,                0.99749,                0.94554,                 0.9575,                0.76521,                0.83838,                0.33656,                0.91262,               0.009208,               0.009208,               0.009208
                      7,                 1.0298,                0.49112,                0.98621,                0.99671,                0.83323,                0.86774,                0.69902,                0.81421,                0.33235,                0.90488,                0.00901,                0.00901,                0.00901
                      8,                 1.0298,                0.49177,                0.98891,                0.99822,                0.90033,                0.92352,                0.74507,                0.83104,                0.32937,                0.90018,               0.008812,               0.008812,               0.008812
