                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0116,                0.45934,                 0.9792,                0.99786,                0.46619,                0.60867,                0.49444,                0.83365,                0.30894,                0.90383,              0.0033283,              0.0033283,              0.0033283
                      2,                0.98519,                0.43802,                0.96871,                0.99879,                 0.8325,                0.87924,                0.72356,                0.78321,                0.30583,                0.89309,              0.0065297,              0.0065297,              0.0065297
                      3,                0.97319,                0.44323,                0.96808,                 0.9965,                0.54536,                0.64126,                0.49049,                0.98011,                0.35244,                 0.9388,              0.0095992,              0.0095992,              0.0095992
                      4,                 0.9894,                 0.4669,                0.97336,                0.99757,                0.72129,                 0.7767,                0.60886,                0.89038,                0.34432,                0.93196,               0.009406,               0.009406,               0.009406
