                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0391,                0.48354,                0.99015,                0.99694,                0.39552,                 0.5644,                0.45893,                0.83896,                0.31747,                0.90752,              0.0033283,              0.0033283,              0.0033283
                      2,                  1.027,                0.46942,                0.98422,                0.99829,                0.75765,                0.82105,                0.68004,                0.76028,                  0.311,                0.89217,              0.0065297,              0.0065297,              0.0065297
                      3,                 1.0399,                0.49035,                0.99116,                0.99459,                0.49042,                 0.5848,                0.45438,                0.94092,                0.36352,                0.92778,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0611,                0.51972,                0.99783,                0.99799,                0.77436,                0.82004,                0.65216,                0.86701,                0.34687,                0.92719,               0.009406,               0.009406,               0.009406
                      5,                 1.0566,                0.52117,                0.99731,                  0.998,                0.84585,                0.87496,                0.69925,                 0.8463,                0.33533,                0.91165,               0.009406,               0.009406,               0.009406
                      6,                 1.0541,                0.51611,                0.99526,                0.99718,                0.93617,                0.94892,                0.76002,                0.83844,                 0.3374,                0.92043,               0.009208,               0.009208,               0.009208
                      7,                 1.0544,                 0.5148,                0.99596,                0.99842,                0.96516,                 0.9725,                0.77874,                0.83267,                0.33497,                0.91504,                0.00901,                0.00901,                0.00901
                      8,                  1.051,                0.51149,                0.99737,                0.99758,                0.89717,                0.91744,                0.74152,                0.81807,                 0.3356,                0.90292,               0.008812,               0.008812,               0.008812
