                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0237,                0.47249,                0.98342,                0.99707,                0.36263,                0.54561,                0.44438,                0.83947,                0.31174,                  0.909,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.0043,                0.45221,                 0.9753,                0.99833,                0.78438,                0.84657,                0.69566,                0.79403,                0.31399,                0.89963,              0.0065297,              0.0065297,              0.0065297
                      3,                 1.0185,                0.47076,                0.98281,                0.99435,                 0.4948,                0.58695,                0.45305,                0.96537,                0.35765,                0.93753,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0398,                0.49917,                0.98934,                 0.9982,                0.87514,                0.90179,                 0.7207,                0.85752,                0.34234,                0.92504,               0.009406,               0.009406,               0.009406
                      5,                 1.0355,                0.50195,                0.98866,                0.99735,                0.74914,                0.80022,                0.64208,                0.83707,                0.33298,                0.90298,               0.009406,               0.009406,               0.009406
