                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0323,                0.47801,                 0.9876,                0.99683,                0.33569,                0.52932,                0.43043,                0.84049,                0.31626,                0.90836,              0.0033283,              0.0033283,              0.0033283
                      2,                   1.02,                0.46234,                0.98078,                0.99835,                0.82374,                0.87174,                0.71738,                0.78912,                0.30951,                 0.9021,              0.0065297,              0.0065297,              0.0065297
                      3,                 1.0275,                0.47892,                0.98636,                0.99421,                0.62938,                0.70388,                0.53919,                0.97743,                0.36499,                0.94402,              0.0095992,              0.0095992,              0.0095992
                      4,                 1.0473,                0.50731,                0.99246,                0.99717,                0.72914,                0.78067,                0.62361,                0.84822,                0.34466,                0.91612,               0.009406,               0.009406,               0.009406
                      5,                 1.0461,                0.51012,                0.99295,                0.99806,                0.86585,                0.89394,                0.71433,                 0.8468,                0.33222,                0.91072,               0.009406,               0.009406,               0.009406
                      6,                 1.0426,                0.50562,                0.99085,                0.99769,                0.81646,                0.85165,                0.67558,                0.86796,                 0.3421,                0.92649,               0.009208,               0.009208,               0.009208
